animal,day,trial,shadowON-abs,escape-rel,hide-rel,shadowOFF-rel
m913,day1,1,308.55,4.3,5.15,5.913261050875731
m913,day1,2,397.9,2.9608006672226868,3.561301084236865,6.013344453711426
m913,day1,3,520.95,n/a,n/a,6.063386155129276
m913,day1,4,623.55,3.861551292743954,4.462051709758132,6.263552960800666
m913,day1,5,720.15,3.3110925771476243,3.9115929941618024,6.5137614678899105
m914,day1,1,382.0,n/a,n/a,5.963302752293579
m914,day1,2,454.9,n/a,n/a,6.013344453711426
m914,day1,3,535.8,2.7105921601334444,3.4111759799833195,6.013344453711426
m914,day1,4,707.2,n/a,n/a,6.263552960800666
m914,day1,5,902.5,n/a,n/a,6.563803169307757
m933,day1,1,336.4,n/a,n/a,5.913261050875731
m933,day1,2,532.9,5.112593828190159,5.913261050875731,6.013344453711426
m933,day1,3,666.95,n/a,n/a,6.013344453711426
m933,day1,4,806.75,n/a,n/a,6.263552960800666
m933,day1,5,939.4,n/a,n/a,6.563803169307757
m934,day1,1,334.45,3.4111759799833195,4.011676396997498,5.963302752293579
m934,day1,2,465.1,3.6113427856547133,3.8115095913261055,5.963302752293579
m934,day1,3,673.0,n/a,n/a,6.013344453711426
m934,day1,4,879.95,n/a,n/a,6.263552960800666
m934,day1,5,1026.3,n/a,n/a,6.563803169307757
m910,day1,1,393.6,3.561301084236865,4.462051709758132,5.913261050875731
m910,day1,2,488.05,3.5112593828190164,3.9115929941618024,6.013344453711426
m910,day1,3,601.35,2.660550458715596,3.461217681401168,6.113427856547123
m910,day1,4,734.2,2.4103419516263553,3.0108423686405335,6.263552960800666
m910,day1,5,839.6,3.7114261884904085,4.011676396997498,6.563803169307757
m911,day1,1,327.95,2.86071726438699,3.361134278565471,5.963302752293579
m911,day1,2,523.4,2.8106755629691413,3.2110091743119273,6.013344453711426
m911,day1,3,826.4,2.8106755629691413,3.1109257714762304,6.013344453711426
m911,day1,4,997.5,1.4595496246872397,1.6597164303586318,6.313594662218517
m911,day1,5,1113.05,2.9608006672226868,3.66138448707256,6.563803169307757
m930,day1,1,346.25,3.461217681401168,3.761467889908257,5.963302752293579
m930,day1,2,487.1,2.9107589658048383,3.5112593828190164,6.013344453711426
m930,day1,3,620.5,3.5112593828190164,4.1117597998331945,6.063386155129276
m930,day1,4,761.85,2.5104253544620523,2.9107589658048383,6.263552960800666
m930,day1,5,900.3,4.061718098415346,4.562135112593829,6.563803169307757
m931,day1,1,459.35,2.86071726438699,3.66138448707256,5.913261050875731
m931,day1,2,597.6,2.760633861551293,3.761467889908257,6.013344453711426
m931,day1,3,792.2,3.8115095913261055,4.712260216847373,6.063386155129276
m931,day1,4,909.65,3.7114261884904085,4.5120934111759805,6.313594662218517
m931,day1,5,1091.9,3.160967472894079,3.861551292743954,6.563803169307757
m932,day1,1,460.80,4.45,5.1,6.0
m932,day1,2,683.9,2.5104253544620523,3.2110091743119273,6.013344453711426
m932,day1,3,763.85,3.8115095913261055,4.5120934111759805,6.013344453711426
m932,day1,4,963.7,n/a,n/a,6.263552960800666
m932,day1,5,1068.15,3.261050875729776,3.561301084236865,6.563803169307757
