animal,day1,trial,start
966,day1,1,633.55
966,day1,2,1200.1
966,day1,3,1428.45
966,day1,4,1673.5
966,day1,5,1899.35
966,day1,6,2236.55
966,day1,7,2892.4
966,day1,8,2911.0
966,day1,9,3216.9
966,day1,10,3434.25
968,day1,1,761.6
968,day1,2,1227.75
968,day1,3,1578.1
968,day1,4,1833.65
968,day1,5,2049.15
968,day1,6,2448.55
968,day1,7,2811.55
968,day1,8,3115,7
971,day1,1,644.8
971,day1,2,849.05
971,day1,3,1143.25
971,day1,4,1368.15
971,day1,5,1615.35
971,day1,6,2190.7
971,day1,7,2858.2
971,day1,8,3035.5
971,day1,9,3481.45
971,day1,10,4015.0
973,day1,1,635.75
973,day1,2,937.1
973,day1,3,1123.45
973,day1,4,1568.9
973,day1,5,1865.3
973,day1,6,2100.9
973,day1,7,2612.1
973,day1,8,2814.85
973,day1,9,3025.75
973,day1,10,3502.8
