T1	633.50 693.50
O1	643.45 655.40
S1	643.50 652.25
R1	637.55 641.05
F1	643.60 647.30 647.70 685.70
E1	647.30 647.70
H1	635.50 636.70 647.70 693.50
G1	000.00 000.00

T5	1899.30 1959.30
O5	1909.20 1921.20
S5	1909.30 1922.00
R5	1899.30 1901.60 1903.50 1904.30 1904.90 1905.10 1906.70 1907.30 1909.90 1911.15 1911.60 1913.20
F5	1913.95 1914.30 1915.50 1920.45 1922.30 1922.50 1944.35 1952.50 1959.20 1959.30
E5	1914.30 1914.80
H5	1914.80 1958.90
G5	1923.90 1924.05 1927.15 1927.65 1928.90 1931.10 1932.05 1932.40 1937.25 1937.65 1937.85 1938.25 1940.55 1942.10 1954.25 1956.90

T9	3228.85	3288.85
O9	3238.70 3250.70
S9	3238.85 3254.50
R9	3230.95 3232.30 3233.05 3234.95 3236.70 3237.10 3261.45 3264.20 3265.90 3267.50 3268.35 3269.90 3276.25 3279.25 3281.40 3282.25
F9	3239.20 3240.60 3241.15 3242.00 3242.50 3243.20 3244.40 3250.95 3273.15 3274.30 3284.65 3285.95
E9	3243.20 3243.75
H9	3243.75 5261.30 3284.10 3288.85
G9	3256.15 3258.05 3258.40 3259.30 3287.30 3288.85
